CELL TYPLE, GENES
RPE,CD96
RPE,BEST1
RPE,MYRIP
RPE,ADAM9
RPE,PMEL
RPE,MITF
RPR_progenitors,TYRP1
RPR_progenitors,RAB38
RPR_progenitors,SLC6A15
RPR_progenitors,GJA1
RPR_progenitors,TFPI2
CMZ_RSCs,PCDH7
CMZ_RSCs,RELN
CMZ_RSCs,MECOM
CMZ_RSCs,CPAMD8
CMZ_RSCs,COL9A1
CMZ_RSCs,ZIC1
early_progenitors,SFRP2
early_progenitors,DCLK1
early_progenitors,CDH6
early_progenitors,VIM
early_progenitors,ID3
RPCs,HES4
RPCs,HES5
RPCs,SOX2
RPCs,SPP1
Pre_PCs,ATOH7
Pre_PCs,CKB
PCs,NEUROD1
PCs,PROM1
PCs,NRL
PCs,RCVRN
PCs,AIPL1
PCs,PDC
RGCs,TUBB2A
RGCs,UCHL1
RGCs,EBF1
RGCs,ELAVL2
RGCs,ISL1
RGCs,POU6F2
ACs,TFAP2A
ACs,MIR181A1HG
HCs,PROX1
HCs,ONECUT3
HCs,ONECUT2
HCs,ONECUT1
BCs,CA10
BCs,VSX1
BCs,NETO1
BCs,IRX6
